DNA_ID,field_ID,genotype,group,row,end?,condition,germ,yellow,flowering,final,diameter,direction,height,leaf_num,ax_heads,notes
D328,SH_C_12,elf3,C,SH_C,middle,shade,06_21_2019,08_16_2019,08_18_2019,08_25_2019,17.2,59,124.6,43,3,NA
D329,SH_C_17,elf3,C,SH_C,middle,shade,06_21_2019,08_13_2019,08_15_2019,08_22_2019,15.2,148,102.6,40,6,NA
D330,SH_C_18,elf3,C,SH_C,middle,shade,06_21_2019,08_12_2019,08_15_2019,08_19_2019,13.4,80,109.9,33,0,NA
D331,SH_C_19,elf3,C,SH_C,middle,shade,06_21_2019,08_11_2019,08_17_2019,08_24_2019,19,116,106.4,37,4,NA
D332,SH_C_20,elf3,C,SH_C,middle,shade,06_21_2019,08_12_2019,08_13_2019,08_20_2019,15.7,85,94,29,3,NA
D333,SH_C_25,elf3,C,SH_C,middle,shade,06_22_2019,08_15_2019,08_17_2019,08_24_2019,17.4,45,125,42,1,NA
D334,SH_C_26,elf3,C,SH_C,middle,shade,06_22_2019,08_15_2019,08_18_2019,08_25_2019,16.9,28,122.3,39,1,NA
D335,SH_C_27,elf3,C,SH_C,middle,shade,06_22_2019,08_16_2019,08_17_2019,08_24_2019,16,73,122.5,36,3,NA
D336,SH_C_28,elf3,C,SH_C,middle,shade,06_22_2019,08_16_2019,08_20_2019,08_25_2019,16.5,75,130.3,39,3,NA
D337,SH_C_33,elf3,C,SH_C,middle,shade,06_22_2019,08_18_2019,08_20_2019,08_25_2019,18.7,72,110.2,42,1,NA
D338,SH_C_34,elf3,C,SH_C,middle,shade,06_22_2019,08_14_2019,08_15_2019,08_22_2019,18.4,177,106.3,34,4,NA
D339,SH_C_35,elf3,C,SH_C,middle,shade,06_22_2019,08_16_2019,08_18_2019,08_25_2019,16.6,80,120.7,37,3,NA
D340,SH_C_36,elf3,C,SH_C,middle,shade,06_22_2019,08_15_2019,08_17_2019,08_24_2019,19.9,44,105,36,0,NA
D341,SH_C_41,elf3,C,SH_C,end,shade,06_22_2019,08_17_2019,08_18_2019,08_25_2019,16.1,106,123.8,43,2,NA
D342,SH_C_42,elf3,C,SH_C,end,shade,06_22_2019,08_15_2019,08_17_2019,08_24_2019,25,22,102.2,42,3,NA
D343,SH_C_43,elf3,C,SH_B_end,end,shade,06_22_2019,08_17_2019,08_19_2019,08_25_2019,12.8,65,116,35,0,"thin, row B"
D344,SH_C_44,elf3,C,SH_B_end,end,shade,06_22_2019,08_24_2019,08_26_2019,NA,NA,78,118.9,28,0,v thin
D345,SH_C_05,WT,C,SH_C,middle,shade,06_21_2019,08_14_2019,08_17_2019,08_25_2019,15.4,27,107.4,32,0,NA
D346,SH_C_06,WT,C,SH_C,middle,shade,06_22_2019,08_12_2019,08_14_2019,08_22_2019,18,UP,92.1,31,7,NA
D347,SH_C_07,WT,C,SH_C,middle,shade,06_22_2019,08_10_2019,08_12_2019,08_19_2019,16,94,90,30,6,NA
D348,SH_C_08,WT,C,SH_C,middle,shade,06_22_2019,08_12_2019,08_15_2019,08_21_2019,16.9,68,100.4,36,9,NA
D349,SH_C_13,WT,C,SH_C,middle,shade,06_22_2019,08_14_2019,08_16_2019,08_23_2019,18.5,68,107.2,NA,3,NA
D350,SH_C_14,WT,C,SH_C,middle,shade,06_22_2019,08_09_2019,08_11_2019,08_18_2019,16.3,UP,90,27,5,NA
D351,SH_C_15,WT,C,SH_C,middle,shade,06_22_2019,08_11_2019,08_13_2019,08_20_2019,16.7,UP,89.6,32,3,NA
D352,SH_C_16,WT,C,SH_C,middle,shade,06_22_2019,NA,NA,NA,NA,NA,NA,NA,NA,no apical head
D353,SH_C_21,WT,C,SH_C,middle,shade,06_22_2019,08_11_2019,08_14_2019,08_21_2019,15.5,52,98.1,29,2,NA
D354,SH_C_22,WT,C,SH_C,middle,shade,06_22_2019,08_12_2019,08_15_2019,08_22_2019,17,58,111.9,33,7,NA
D355,SH_C_23,WT,C,SH_C,middle,shade,06_22_2019,08_12_2019,08_15_2019,08_21_2019,14.8,66,111.3,27,2,NA
D356,SH_C_24,WT,C,SH_C,middle,shade,06_22_2019,08_14_2019,08_16_2019,08_22_2019,15.2,64,120.7,36,5,NA
D357,SH_C_29,WT,C,SH_C,middle,shade,06_22_2019,08_14_2019,08_17_2019,08_23_2019,16.6,48,109.8,34,5,NA
D358,SH_C_30,WT,C,SH_C,middle,shade,06_22_2019,08_10_2019,08_12_2019,08_19_2019,17,65,94.4,32,3,NA
D359,SH_C_31,WT,C,SH_C,middle,shade,06_22_2019,08_09_2019,08_12_2019,08_18_2019,13.6,101,96.6,28,3,NA
D360,SH_C_32,WT,C,SH_C,middle,shade,06_22_2019,08_13_2019,08_15_2019,08_22_2019,18.3,46,115,35,0,NA
D361,SH_C_37,WT,C,SH_C,middle,shade,06_22_2019,08_10_2019,08_12_2019,08_19_2019,17.5,32,88.1,30,7,NA
D362,SH_C_38,WT,C,SH_C,middle,shade,06_22_2019,08_10_2019,08_12_2019,08_19_2019,16.3,48,89.4,28,7,NA
D363,SH_C_39,WT,C,SH_C,middle,shade,06_22_2019,08_12_2019,08_15_2019,08_20_2019,18.6,43,96.8,32,2,NA
D364,SH_C_40,WT,C,SH_C,middle,shade,06_22_2019,08_11_2019,08_13_2019,08_20_2019,17.7,UP,94.7,28,3,NA
D365,SH_C_45,WT,C,SH_B_end,end,shade,06_22_2019,08_15_2019,08_18_2019,08_24_2019,14.8,106,112.8,32,0,thin
D366,SH_C_46,WT,C,SH_B_end,end,shade,06_22_2019,08_17_2019,08_19_2019,08_26_2019,11.1,46,123.5,30,0,thin
D367,SH_C_48,WT,C,SH_B_end,end,shade,06_22_2019,08_14_2019,08_16_2019,08_23_2019,13.6,81,106.1,32,0,NA
D368,SUN_C_05,elf3,C,SUN_C,middle,sun,06_21_2019,08_18_2019,08_20_2019,08_25_2019,14.8,45,91.1,35,2,NA
D369,SUN_C_06,elf3,C,SUN_C,middle,sun,06_21_2019,08_19_2019,08_21_2019,08_25_2019,13,145,90,35,0,NA
D370,SH_C_47,WT,C,SH_B_end,end,shade,06_22_2019,08_15_2019,08_17_2019,08_23_2019,11.8,59,114.8,30,0,thin
D371,SUN_C_07,elf3,C,SUN_C,middle,sun,06_21_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D372,SUN_C_08,elf3,C,SUN_C,middle,sun,06_21_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D373,SUN_C_13,elf3,C,SUN_C,middle,sun,06_21_2019,08_18_2019,08_20_2019,08_26_2019,17.4,73,77.3,33,0,NA
D374,SUN_C_14,elf3,C,SUN_C,middle,sun,06_21_2019,08_17_2019,08_19_2019,08_25_2019,13.8,52,99.7,36,5,NA
D375,SUN_C_15,elf3,C,SUN_C,middle,sun,06_21_2019,08_22_2019,08_23_2019,08_28_2019,NA,81,95.1,36,1,NA
D376,SUN_C_16,elf3,C,SUN_C,middle,sun,06_21_2019,08_17_2019,08_19_2019,08_26_2019,13.4,40,84.2,30,2,thin
D377,SUN_C_21,elf3,C,SUN_C,middle,sun,06_21_2019,08_17_2019,08_19_2019,08_25_2019,17.1,146,85.2,37,0,NA
D378,SUN_C_22,elf3,C,SUN_C,middle,sun,06_21_2019,08_20_2019,08_22_2019,08_27_2019,12.8,60,96.5,33,1,NA
D379,SUN_C_23,elf3,C,SUN_C,middle,sun,06_21_2019,08_14_2019,08_16_2019,08_23_2019,15.1,21,84.3,34,4,NA
D380,SUN_C_24,elf3,C,SUN_C,middle,sun,06_21_2019,08_17_2019,08_19_2019,08_25_2019,15.2,242,79.6,33,5,NA
D381,SUN_C_29,elf3,C,SUN_C,middle,sun,06_21_2019,08_18_2019,08_19_2019,08_25_2019,16.2,71,96.8,38,5,NA
D382,SUN_C_30,elf3,C,SUN_C,middle,sun,06_21_2019,08_18_2019,08_20_2019,08_26_2019,15.2,73,101.5,41,4,NA
D383,SUN_C_31,elf3,C,SUN_C,middle,sun,06_21_2019,08_20_2019,08_22_2019,08_27_2019,15,20,88.4,36,5,NA
D384,SUN_C_32,elf3,C,SUN_C,middle,sun,06_21_2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
D385,SUN_C_37,elf3,C,SUN_C,middle,sun,06_21_2019,08_17_2019,08_18_2019,08_25_2019,14.5,91,92.7,34,0,NA
D386,SUN_C_38,elf3,C,SUN_C,middle,sun,06_21_2019,08_16_2019,08_17_2019,08_24_2019,16,118,78.3,32,2,NA
D387,SUN_C_39,elf3,C,SUN_C,middle,sun,06_21_2019,08_13_2019,08_15_2019,08_23_2019,16.3,25,77.2,34,4,NA
